,symbol,emoji,kline,alert_price,Time_(MSK),resist_level,n_touches,conf_level,resist_length,max_ratio_p
37,TIAUSDT,💥💥💥,1 kline,10.4447,2023-12-07 18:50:38.448000,10.42,2.0,2.0,131.0,0.21
38,JOEUSDT,💥💥💥,1 kline,0.5266,2023-12-07 18:49:43.299000,0.5258,3.0,2.0,149.0,2.829
39,1000PEPEUSDT,💥💥💥,1 kline,0.0015078,2023-12-07 18:49:15.777000,0.0015043,3.0,0.0,2.0,9.716
40,TOKENUSDT,💥💥💥,1 kline,0.05022,2023-12-07 18:46:46.186000,0.04993,3.0,0.0,13.0,0.139
41,UMAUSDT,🌊🌊🌊,2 kline,2.022,2023-12-07 18:37:51.193000,1.984,5.0,0.0,6.0,2.819
42,COMBOUSDT,🌊🌊🌊,2 kline,0.7687,2023-12-07 18:37:43.867000,0.7581,4.0,0.0,6.0,1.47
43,MAVUSDT,💥💥💥,1 kline,0.374,2023-12-07 18:35:52.609000,0.3674,2.0,0.0,1.0,1.417
44,INJUSDT,💥💥💥,1 kline,17.512,2023-12-07 18:35:35.112000,17.232,5.0,0.0,9.0,5.465
45,HIGHUSDT,💥💥💥,1 kline,1.559,2023-12-07 18:33:58.083000,1.535,2.0,0.0,6.0,1.86
46,QNTUSDT,💥💥💥,1 kline,111.94,2023-12-07 18:30:18.986000,110.42,6.0,2.0,108.0,0.822
47,BLURUSDT,💥💥💥,1 kline,0.4927,2023-12-07 18:26:53.942000,0.4915,1.0,0.0,1.0,2.091
48,NTRNUSDT,💥💥💥,1 kline,0.6705,2023-12-07 18:26:49.815000,0.6654,2.0,0.0,1.0,1.462
49,PENDLEUSDT,🌊🌊🌊,2 kline,1.2662,2023-12-07 18:26:48.173000,1.2489,3.0,1.0,97.0,4.367
50,AUDIOUSDT,🌊🌊🌊,2 kline,0.2202,2023-12-07 18:26:24.496000,0.2188,2.0,0.0,29.0,3.315
51,TRUUSDT,💥💥💥,1 kline,0.0569,2023-12-07 18:26:05.970000,0.05619,2.0,0.0,1.0,2.425
52,SSVUSDT,🌊🌊🌊,3 kline,26.1,2023-12-07 18:25:25.078000,25.47,2.0,0.0,2.0,8.697
53,ROSEUSDT,💥💥💥,1 kline,0.08166,2023-12-07 18:24:47.375000,0.08109,6.0,0.0,16.0,1.874
54,MEMEUSDT,🌊🌊🌊,2 kline,0.043444,2023-12-07 18:24:12.385000,0.042418,2.0,0.0,2.0,1.245
55,GLMRUSDT,💥💥💥,1 kline,0.3186,2023-12-07 18:23:00.189000,0.319,2.0,0.0,2.0,2.26
56,OCEANUSDT,💥💥💥,1 kline,0.5203,2023-12-07 18:21:51.500000,0.5195,3.0,0.0,4.0,1.365
57,PERPUSDT,💥💥💥,1 kline,0.7458,2023-12-07 18:15:54.847000,0.7299,1.0,0.0,1.0,4.197
58,LDOUSDT,💥💥💥,1 kline,2.3009,2023-12-07 18:09:29.134000,2.2785,4.0,0.0,23.0,9.079
59,POLYXUSDT,💥💥💥,1 kline,0.2121,2023-12-07 18:08:50.893000,0.2101,1.0,0.0,1.0,0.33
60,‼️‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,43677.9,2023-12-07 18:03:49.909000,,,,,
61,SUIUSDT,💥💥💥,1 kline,0.6365,2023-12-07 18:03:35.486000,0.6338,8.0,0.0,48.0,4.776
62,WLDUSDT,🌊🌊🌊,2 kline,2.4167,2023-12-07 18:03:02.483000,2.408,4.0,1.0,99.0,4.564
63,DUSKUSDT,💥💥💥,1 kline,0.1732,2023-12-07 18:01:54.099000,0.17149,8.0,0.0,22.0,3.227
64,LINKUSDT,💥💥💥,1 kline,15.107,2023-12-07 18:01:44.312000,14.978,3.0,1.0,91.0,2.74
65,CVXUSDT,🌊🌊🌊,2 kline,4.038,2023-12-07 18:01:02.430000,3.951,12.0,1.0,61.0,1.709
66,GALUSDT,💥💥💥,1 kline,1.649,2023-12-07 18:00:43.473000,1.6408,14.0,1.0,69.0,11.431
67,CHRUSDT,🌊🌊🌊,2 kline,0.1485,2023-12-07 17:56:37.548000,0.1481,1.0,0.0,1.0,3.636
68,BADGERUSDT,💥💥💥,1 kline,4.478,2023-12-07 17:53:51.621000,4.486,8.0,1.0,72.0,2.345
69,ARKMUSDT,💥💥💥,1 kline,0.5154,2023-12-07 17:49:37.826000,0.5116,6.0,0.0,15.0,7.548
70,BEAMXUSDT,💥💥💥,1 kline,0.016667,2023-12-07 17:47:21.251000,0.016579,2.0,0.0,1.0,1.806
71,PHBUSDT,🌊🌊🌊,2 kline,0.8354,2023-12-07 17:44:28.488000,0.8355,1.0,0.0,1.0,4.178
72,XVSUSDT,💥💥💥,1 kline,10.608,2023-12-07 17:40:37.132000,10.609,2.0,0.0,1.0,2.064
73,1000XECUSDT,💥💥💥,1 kline,0.03352,2023-12-07 17:38:33.153000,0.03337,2.0,0.0,6.0,0.925
74,1000BONKUSDT,💥💥💥,1 kline,0.009934,2023-12-07 17:33:34.471000,0.009799,3.0,0.0,3.0,15.653
75,ALPHAUSDT,💥💥💥,1 kline,0.10367,2023-12-07 17:32:37.143000,0.1026,5.0,0.0,12.0,0.907
76,LEVERUSDT,🌊🌊🌊,2 kline,0.001468,2023-12-07 17:32:32.657000,0.001455,3.0,0.0,6.0,0.477
77,LOOMUSDT,💥💥💥,1 kline,0.1254,2023-12-07 17:26:43.786000,0.1244,1.0,0.0,1.0,0.319
78,BIGTIMEUSDT,💥💥💥,1 kline,0.6616,2023-12-07 17:26:25.055000,0.6577,2.0,0.0,1.0,8.797
79,SLPUSDT,🌊🌊🌊,2 kline,0.003459,2023-12-07 17:19:29.298000,0.0033,2.0,0.0,1.0,4.308
80,RVNUSDT,🌊🌊🌊,3 kline,0.02228,2023-12-07 17:14:57.047000,0.0221,1.0,0.0,1.0,0.494
81,PEOPLEUSDT,💥💥💥,1 kline,0.01353,2023-12-07 17:14:49.647000,0.01344,10.0,0.0,46.0,2.439
82,SXPUSDT,💥💥💥,1 kline,0.3969,2023-12-07 17:13:45.400000,0.3935,4.0,0.0,14.0,1.436
83,RIFUSDT,💥💥💥,1 kline,0.1481,2023-12-07 17:03:22.662000,0.14824,3.0,0.0,4.0,4.207
84,APTUSDT,💥💥💥,1 kline,7.634,2023-12-07 17:03:00.420000,7.601,8.0,0.0,37.0,2.345
85,SEIUSDT,💥💥💥,1 kline,0.2819,2023-12-07 17:02:00.413000,0.2814,4.0,0.0,6.0,0.887
86,GALAUSDT,🌊🌊🌊,2 kline,0.03051,2023-12-07 17:01:20.638000,0.0303,2.0,0.0,2.0,3.802
87,XVGUSDT,🌊🌊🌊,2 kline,0.003769,2023-12-07 17:01:20.641000,0.003764,4.0,0.0,4.0,1.274
88,DYDXUSDT,💥💥💥,1 kline,2.929,2023-12-07 17:00:52.505000,2.904,4.0,0.0,2.0,2.834
89,MAVUSDT,💥💥💥,1 kline,0.3593,2023-12-07 16:56:27.371000,0.3594,3.0,0.0,11.0,5.399
90,SUIUSDT,💥💥💥,1 kline,0.6287,2023-12-07 16:55:57.373000,0.6265,9.0,0.0,19.0,2.354
91,OXTUSDT,💥💥💥,1 kline,0.08315,2023-12-07 16:53:56.168000,0.08255,4.0,0.0,16.0,3.223
92,CHZUSDT,🌊🌊🌊,2 kline,0.0841,2023-12-07 16:47:32.754000,0.08366,5.0,0.0,4.0,1.439
93,DARUSDT,💥💥💥,1 kline,0.1364,2023-12-07 16:41:52.858000,0.1336,6.0,0.0,19.0,2.053
94,HOTUSDT,💥💥💥,1 kline,0.001985,2023-12-07 16:39:56.180000,0.001974,3.0,0.0,7.0,1.662
95,FXSUSDT,💥💥💥,1 kline,8.819,2023-12-07 16:34:57.726000,8.779,4.0,0.0,25.0,3.096
96,1000FLOKIUSDT,💥💥💥,1 kline,0.04001,2023-12-07 16:31:22.995000,0.03981,5.0,0.0,17.0,2.224
97,REEFUSDT,💥💥💥,1 kline,0.002047,2023-12-07 16:14:29.064000,0.002048,5.0,0.0,11.0,1.368
98,BLZUSDT,💥💥💥,1 kline,0.27331,2023-12-07 16:11:51.845000,0.27255,3.0,0.0,2.0,1.046
99,CYBERUSDT,💥💥💥,1 kline,6.985,2023-12-07 16:10:46.872000,6.961,1.0,0.0,1.0,1.589
100,CYBERUSDT,💥💥💥,1 kline,6.985,2023-12-07 16:10:46.872000,6.961,1.0,0.0,1.0,1.589
101,ENJUSDT,💥💥💥,1 kline,0.3356,2023-12-07 16:07:48.948000,0.3314,4.0,0.0,8.0,0.268
102,IDUSDT,💥💥💥,1 kline,0.2806,2023-12-07 16:05:44.509000,0.2796,1.0,0.0,1.0,1.283
103,CTSIUSDT,🌊🌊🌊,2 kline,0.1603,2023-12-07 16:00:11.422000,0.1584,3.0,0.0,18.0,0.374
104,SEIUSDT,🌊🌊🌊,2 kline,0.2813,2023-12-07 15:51:28.028000,0.2769,1.0,0.0,1.0,0.995
105,RIFUSDT,💥💥💥,1 kline,0.15088,2023-12-07 15:43:57.160000,0.14986,2.0,0.0,4.0,0.709
106,MDTUSDT,💥💥💥,1 kline,0.05881,2023-12-07 15:43:15.899000,0.05855,3.0,0.0,4.0,6.206
107,BELUSDT,💥💥💥,1 kline,0.734,2023-12-07 15:42:41.567000,0.7255,2.0,0.0,3.0,0.804
108,EDUUSDT,💥💥💥,1 kline,0.6976,2023-12-07 15:42:37.804000,0.6901,3.0,0.0,23.0,10.278
109,ARBUSDT,🌊🌊🌊,2 kline,1.0665,2023-12-07 15:33:56.291000,1.0547,6.0,1.0,52.0,0.563
110,ARKMUSDT,💥💥💥,1 kline,0.4997,2023-12-07 15:31:45.562000,0.4966,4.0,0.0,11.0,2.461
111,POWRUSDT,🌊🌊🌊,2 kline,0.3049,2023-12-07 15:31:36.336000,0.3023,6.0,0.0,9.0,1.05
112,AXSUSDT,💥💥💥,1 kline,7.24,2023-12-07 15:27:38.144000,7.205,4.0,0.0,2.0,1.229
113,HFTUSDT,🌊🌊🌊,2 kline,0.3426,2023-12-07 15:26:39.603000,0.3394,3.0,0.0,6.0,1.226
114,ARPAUSDT,💥💥💥,1 kline,0.05175,2023-12-07 15:18:49.185000,0.05131,7.0,0.0,18.0,1.488
115,MEMEUSDT,💥💥💥,1 kline,0.041373,2023-12-07 15:16:53.592000,0.040973,2.0,1.0,92.0,3.638
116,ANTUSDT,🌊🌊🌊,2 kline,5.716,2023-12-07 15:14:05.293000,5.697,12.0,0.0,30.0,0.612
117,FXSUSDT,💥💥💥,1 kline,8.592,2023-12-07 15:12:45.134000,8.533,5.0,0.0,14.0,3.049
118,STXUSDT,💥💥💥,1 kline,1.0054,2023-12-07 15:11:56.511000,1.0048,1.0,0.0,1.0,2.626
119,RNDRUSDT,💥💥💥,1 kline,3.6037,2023-12-07 15:11:56.471000,3.588,10.0,0.0,44.0,1.468
120,CFXUSDT,🌊🌊🌊,2 kline,0.1971,2023-12-07 15:11:51.347000,0.1935,3.0,0.0,3.0,0.507
121,GALAUSDT,💥💥💥,1 kline,0.03046,2023-12-07 15:11:29.761000,0.03019,5.0,0.0,40.0,1.018
122,IOTAUSDT,💥💥💥,1 kline,0.2929,2023-12-07 15:06:36.691000,0.2914,5.0,0.0,27.0,0.512
123,IOSTUSDT,🌊🌊🌊,2 kline,0.009514,2023-12-07 15:06:03.744000,0.009498,4.0,0.0,29.0,1.093
124,AMBUSDT,💥💥💥,1 kline,0.007975,2023-12-07 14:58:41.218000,0.007936,8.0,0.0,20.0,1.129
125,WOOUSDT,💥💥💥,1 kline,0.23498,2023-12-07 14:52:11.313000,0.23217,4.0,0.0,9.0,0.928
126,SPELLUSDT,💥💥💥,1 kline,0.0006278,2023-12-07 14:43:52.612000,0.0006259,5.0,0.0,5.0,1.402
127,XVSUSDT,💥💥💥,1 kline,11.301,2023-12-07 14:38:57.288000,11.211,5.0,0.0,7.0,3.911
128,AXSUSDT,🌊🌊🌊,2 kline,7.192,2023-12-07 14:25:56.044000,7.157,3.0,0.0,6.0,1.905
129,SOLUSDT,💥💥💥,1 kline,63.801,2023-12-07 14:22:27.421000,63.447,5.0,0.0,34.0,2.27
130,DODOXUSDT,💥💥💥,1 kline,0.1564,2023-12-07 14:20:19.806000,0.15473,7.0,0.0,15.0,1.298
131,NKNUSDT,💥💥💥,1 kline,0.11724,2023-12-07 14:16:50.626000,0.11658,7.0,0.0,32.0,0.631
132,MAVUSDT,💥💥💥,1 kline,0.3533,2023-12-07 14:02:52.395000,0.3506,4.0,0.0,8.0,3.453
133,RIFUSDT,💥💥💥,1 kline,0.14609,2023-12-07 14:01:45.151000,0.14492,3.0,0.0,8.0,4.011
134,CHZUSDT,💥💥💥,1 kline,0.08373,2023-12-07 14:01:40.613000,0.08329,7.0,0.0,7.0,1.266
135,JOEUSDT,💥💥💥,1 kline,0.5338,2023-12-07 14:01:29.590000,0.5268,1.0,0.0,1.0,1.424
136,‼️‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,43280.9,2023-12-07 14:00:40.477000,,,,,
137,CELRUSDT,💥💥💥,1 kline,0.01655,2023-12-07 13:47:43.227000,0.01641,7.0,1.0,95.0,1.148
138,SXPUSDT,💥💥💥,1 kline,0.3737,2023-12-07 13:44:30.345000,0.3721,3.0,0.0,2.0,4.843
139,KSMUSDT,💥💥💥,1 kline,27.15,2023-12-07 13:42:45.531000,27.08,5.0,2.0,103.0,0.773
140,SPELLUSDT,🌊🌊🌊,2 kline,0.0006221,2023-12-07 13:41:51.895000,0.0006155,7.0,0.0,19.0,2.283
142,SOLUSDT,💥💥💥,1 kline,63.523,2023-12-07 13:33:25.610000,63.081,3.0,0.0,19.0,2.717
143,XVSUSDT,💥💥💥,1 kline,11.145,2023-12-07 13:31:59.607000,11.029,3.0,0.0,32.0,3.795
145,BELUSDT,💥💥💥,1 kline,0.7147,2023-12-07 13:19:00.204000,0.7087,2.0,0.0,2.0,1.245
148,SEIUSDT,💥💥💥,1 kline,0.2672,2023-12-07 13:00:34.876000,0.2669,5.0,1.0,58.0,2.919
149,STXUSDT,💥💥💥,1 kline,0.9966,2023-12-07 12:58:20.221000,0.9959,4.0,1.0,52.0,0.823
150,GASUSDT,💥💥💥,1 kline,7.663,2023-12-07 12:57:33.539000,7.661,6.0,0.0,44.0,1.71
152,AGLDUSDT,💥💥💥,1 kline,1.0137,2023-12-07 12:49:45.395000,1.0046,2.0,0.0,1.0,0.937
153,BEAMXUSDT,💥💥💥,1 kline,0.016562,2023-12-07 12:47:55.843000,0.016293,3.0,0.0,5.0,0.26
154,GLMRUSDT,💥💥💥,1 kline,0.3086,2023-12-07 12:47:47.408000,0.3046,4.0,0.0,17.0,2.916
157,NMRUSDT,💥💥💥,1 kline,16.02,2023-12-07 11:57:43.973000,16.04,2.0,0.0,1.0,0.25
158,TRBUSDT,💥💥💥,1 kline,77.719,2023-12-07 11:40:39.298000,76.446,2.0,0.0,1.0,0.117
159,COTIUSDT,💥💥💥,1 kline,0.05913,2023-12-07 11:33:47.241000,0.05894,3.0,0.0,3.0,0.288
160,DYDXUSDT,🌊🌊🌊,2 kline,2.975,2023-12-07 11:02:45.853000,2.957,4.0,0.0,9.0,0.874
161,USTCUSDT,🌊🌊🌊,2 kline,0.04605,2023-12-07 11:02:38.091000,0.04577,12.0,0.0,32.0,1.433
162,XVGUSDT,💥💥💥,1 kline,0.003855,2023-12-07 11:01:45.135000,0.003874,1.0,0.0,1.0,0.104
163,IOTXUSDT,💥💥💥,1 kline,0.03491,2023-12-07 11:00:30.343000,0.03485,4.0,0.0,11.0,0.602
164,ANKRUSDT,🌊🌊🌊,2 kline,0.02745,2023-12-07 11:00:21.230000,0.02741,13.0,2.0,120.0,0.364
165,ONEUSDT,🌊🌊🌊,2 kline,0.01525,2023-12-07 10:57:46.322000,0.01515,4.0,0.0,7.0,0.525
166,SXPUSDT,💥💥💥,1 kline,0.3866,2023-12-07 10:50:56.622000,0.3813,7.0,0.0,26.0,1.112
167,KAVAUSDT,💥💥💥,1 kline,0.8578,2023-12-07 10:50:39.080000,0.8513,2.0,0.0,2.0,0.431
168,QTUMUSDT,💥💥💥,1 kline,3.296,2023-12-07 10:45:25.704000,3.287,5.0,0.0,25.0,0.364
169,POLYXUSDT,🌊🌊🌊,2 kline,0.2128,2023-12-07 10:43:15.554000,0.2112,8.0,1.0,80.0,0.893
170,STPTUSDT,🌊🌊🌊,2 kline,0.06585,2023-12-07 10:39:09.027000,0.06569,8.0,0.0,13.0,0.516
171,ZENUSDT,💥💥💥,1 kline,11.2,2023-12-07 10:36:40.403000,11.098,9.0,0.0,32.0,0.536
172,LOOMUSDT,🌊🌊🌊,2 kline,0.1199,2023-12-07 10:36:18.556000,0.1175,2.0,0.0,1.0,5.421
173,POWRUSDT,🌊🌊🌊,2 kline,0.3137,2023-12-07 10:35:22.334000,0.3126,4.0,0.0,17.0,0.096
174,KSMUSDT,💥💥💥,1 kline,27.33,2023-12-07 10:29:55.625000,27.18,7.0,0.0,39.0,0.146
175,FILUSDT,💥💥💥,1 kline,4.987,2023-12-07 10:18:56.468000,4.99,3.0,0.0,28.0,0.822
176,PERPUSDT,🌊🌊🌊,2 kline,0.6929,2023-12-07 10:16:16.294000,0.6912,7.0,0.0,29.0,0.649
177,BONDUSDT,🌊🌊🌊,2 kline,3.753,2023-12-07 10:12:46.293000,3.708,5.0,2.0,111.0,0.266
178,TIAUSDT,💥💥💥,1 kline,10.0834,2023-12-07 10:12:33.070000,10.022,5.0,0.0,39.0,0.712
179,INJUSDT,🌊🌊🌊,2 kline,17.403,2023-12-07 10:05:22.200000,17.336,8.0,1.0,57.0,0.557
180,FXSUSDT,💥💥💥,1 kline,8.778,2023-12-07 10:05:14.038000,8.865,3.0,0.0,2.0,1.037
181,NKNUSDT,💥💥💥,1 kline,0.1182,2023-12-07 10:05:09.414000,0.11807,1.0,0.0,1.0,2.107
182,ARKMUSDT,💥💥💥,1 kline,0.5,2023-12-07 10:04:56.426000,0.4991,4.0,0.0,3.0,0.44
183,LINAUSDT,🌊🌊🌊,2 kline,0.01115,2023-12-07 10:01:33.258000,0.01108,2.0,0.0,1.0,0.359
184,1000BONKUSDT,💥💥💥,1 kline,0.009085,2023-12-07 10:00:19.235000,0.008998,1.0,0.0,1.0,4.733
185,TRUUSDT,🌊🌊🌊,2 kline,0.05716,2023-12-07 09:57:55.968000,0.05694,10.0,1.0,75.0,0.175
186,SUPERUSDT,💥💥💥,1 kline,0.6052,2023-12-07 09:51:59.376000,0.6111,2.0,0.0,1.0,7.138
187,IMXUSDT,💥💥💥,1 kline,1.4312,2023-12-07 09:44:38.141000,1.4357,5.0,0.0,6.0,0.203
188,ALGOUSDT,💥💥💥,1 kline,0.1627,2023-12-07 09:43:53.396000,0.1627,1.0,0.0,1.0,1.106
189,ALPHAUSDT,🌊🌊🌊,2 kline,0.10174,2023-12-07 09:40:49.730000,0.1004,6.0,0.0,31.0,4.403
190,SUIUSDT,💥💥💥,1 kline,0.6349,2023-12-07 09:39:44.286000,0.6323,8.0,0.0,42.0,1.181
191,ALICEUSDT,💥💥💥,1 kline,1.203,2023-12-07 09:38:56.994000,1.191,3.0,0.0,10.0,1.912
192,SPELLUSDT,💥💥💥,1 kline,0.0006473,2023-12-07 09:38:48.557000,0.0006244,4.0,0.0,11.0,2.456
193,DARUSDT,💥💥💥,1 kline,0.1387,2023-12-07 09:34:40.151000,0.1365,1.0,0.0,1.0,8.003
194,REEFUSDT,🌊🌊🌊,2 kline,0.002037,2023-12-07 09:34:02.740000,0.002001,5.0,0.0,11.0,11.586
195,ZENUSDT,🌊🌊🌊,2 kline,11.15,2023-12-07 09:32:19.280000,11.082,6.0,0.0,12.0,0.897
196,SKLUSDT,💥💥💥,1 kline,0.04223,2023-12-07 09:30:08.493000,0.0418,6.0,0.0,40.0,0.971
197,COMBOUSDT,💥💥💥,1 kline,0.7469,2023-12-07 09:28:33.012000,0.7445,3.0,0.0,5.0,2.571
198,SFPUSDT,💥💥💥,1 kline,0.7194,2023-12-07 09:25:42.500000,0.717,8.0,0.0,34.0,1.585
199,IDUSDT,🌊🌊🌊,2 kline,0.2817,2023-12-07 09:25:34.091000,0.2794,1.0,0.0,1.0,2.875
200,IDUSDT,🌊🌊🌊,2 kline,0.2817,2023-12-07 09:25:34.091000,0.2794,1.0,0.0,1.0,2.875
201,DUSKUSDT,💥💥💥,1 kline,0.17194,2023-12-07 09:24:12.167000,0.17139,6.0,0.0,40.0,0.268
202,HIFIUSDT,💥💥💥,1 kline,0.8113,2023-12-07 09:17:50.572000,0.8137,2.0,0.0,24.0,2.49
203,CHZUSDT,🌊🌊🌊,2 kline,0.08544,2023-12-07 09:17:19.309000,0.08448,8.0,0.0,12.0,1.592
204,1000FLOKIUSDT,💥💥💥,1 kline,0.0403,2023-12-07 09:13:41.251000,0.04009,2.0,0.0,12.0,1.935
205,MANAUSDT,💥💥💥,1 kline,0.4831,2023-12-07 09:12:42.904000,0.482,8.0,0.0,9.0,1.511
206,EDUUSDT,💥💥💥,1 kline,0.663,2023-12-07 09:12:15.591000,0.6559,3.0,0.0,10.0,15.686
207,LEVERUSDT,🌊🌊🌊,2 kline,0.00146,2023-12-07 09:11:10.056000,0.001454,7.0,0.0,31.0,0.753
208,SLPUSDT,🌊🌊🌊,2 kline,0.003144,2023-12-07 09:08:28.191000,0.003027,3.0,0.0,37.0,20.738
209,SXPUSDT,💥💥💥,1 kline,0.3806,2023-12-07 09:06:27.691000,0.3798,5.0,0.0,19.0,2.706
210,SANDUSDT,🌊🌊🌊,2 kline,0.4592,2023-12-07 09:06:00.168000,0.4579,6.0,0.0,32.0,1.437
211,1INCHUSDT,💥💥💥,1 kline,0.3872,2023-12-07 09:02:49.610000,0.3837,9.0,0.0,33.0,0.31
212,ORBSUSDT,💥💥💥,1 kline,0.04534,2023-12-07 08:58:41.219000,0.04516,4.0,0.0,24.0,1.412
213,BIGTIMEUSDT,💥💥💥,1 kline,0.6782,2023-12-07 08:56:36.177000,0.668,4.0,0.0,13.0,1.416
214,MEMEUSDT,🌊🌊🌊,2 kline,0.041918,2023-12-07 08:44:16.797000,0.0407,3.0,0.0,23.0,2.242
215,KEYUSDT,💥💥💥,1 kline,0.006246,2023-12-07 08:43:30.822000,0.006238,6.0,0.0,42.0,1.633
216,RIFUSDT,💥💥💥,1 kline,0.14398,2023-12-07 08:36:29.503000,0.14295,5.0,0.0,7.0,2.542
217,1000BONKUSDT,💥💥💥,1 kline,0.00832,2023-12-07 08:34:28.625000,0.008268,3.0,0.0,2.0,14.363
218,ZECUSDT,🌊🌊🌊,2 kline,32.4,2023-12-07 08:31:11.966000,32.08,2.0,0.0,2.0,0.216
219,COMBOUSDT,💥💥💥,1 kline,0.7456,2023-12-07 08:25:34.143000,0.7422,5.0,0.0,8.0,2.749
220,PEOPLEUSDT,🌊🌊🌊,2 kline,0.01392,2023-12-07 08:22:08.795000,0.01383,4.0,0.0,8.0,0.072
